"rank","size","eligible","excel_row","mp_id","name","address","epsg25832_easting","epsg25832_northing","epsg31468_x","epsg31468_y","nearest_stop_distance_m","nearest_stop_id","matched_matsim_stop_ids","served_matsim_stop_ids","matched_stop_groups","matched_stop_names","distinct_line_count","matched_line_ids","route_count","matsim_modes","lhm_mode_flags","mode_flag_comparison","carsharing_spaces","possible_transfer_pair_count","current_transfer_relation_count","current_transfer_times","confidence","selection_reason","unresolved_issue"
"69","eligible_not_shortlisted","true","44","408","Destoucheestraße","Destoucheestraße 50","691400.430","5337799.170","4468428.041","5336374.332","107.8","107211","107209;107211","107211","107209=[107209;107211]","Clemensstraße","2","XXX---2272004_0;XXX---2272015_0","3","tram","bus=Nein|tram=Ja|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","8","2","1","107211>107211=180s","medium","deterministic rank from 2 lines, 1 MATSim modes, 8 carsharing spaces, mp_id 408","none"
"70","eligible_not_shortlisted","true","5","9","St. Jakobs-Platz","St.-Jakobs-Platz 12","691437.534","5334377.065","4468331.660","5332953.512","92.9","106500","106498;106499;106500","106499;106500","106498=[106498;106499;106500]","Blumenstraße","2","XXX---2272032_3;XXX---2272041_3","18","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","7","2","4","106499>106499=180s;106499>106500=180s;106500>106499=180s;106500>106500=180s","medium","deterministic rank from 2 lines, 1 MATSim modes, 7 carsharing spaces, mp_id 9","embedded line break in name"
"71","eligible_not_shortlisted","true","69","305","Tengstraße","Tengstraße 3","690985.474","5336652.179","4467968.678","5335244.441","136.1","106550","106550","106550","106549=[106550]","Josephsplatz","2","XXX---2272068_3;XXX---2272069_3","10","bus","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:mismatch","7","2","1","106550>106550=180s","medium","deterministic rank from 2 lines, 1 MATSim modes, 7 carsharing spaces, mp_id 305","LHM u_bahn=Ja vs MATSim subway=false"
"72","eligible_not_shortlisted","true","45","48","Ella-Lingens-Platz","Werner-Schlierf-Straße 23","692060.318","5331731.344","4468850.812","5330285.628","132.5","108606","108605;108606","108606","108605=[108605;108606]","Spixstraße","2","XXX---2272034_3;XXX---2272127_3","10","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","2","1","108606>108606=180s","medium","deterministic rank from 2 lines, 1 MATSim modes, 6 carsharing spaces, mp_id 48","none"
"73","eligible_not_shortlisted","true","117","16","Nestroystraße","Nestroystraße 5","688632.312","5332884.742","4465470.475","5331571.729","45.4","108843","108842;108843;108844","108843;108844","108842=[108842;108843;108844]","Ortlerstraße","2","XXX---2272052_3;XXX---2272054_3","17","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","2","4","108843>108843=180s;108843>108844=180s;108844>108843=180s;108844>108844=180s","medium","deterministic rank from 2 lines, 1 MATSim modes, 5 carsharing spaces, mp_id 16","embedded line break in name"
"74","eligible_not_shortlisted","true","113","310","Luisenstraße","Luisenstraße 68","690998.927","5336420.469","4467973.083","5335012.390","20.2","106540","106540;106541;106542","106541;106542","106540=[106540;106541;106542]","Luisenstraße","2","XXX---2272068_3;XXX---2272069_3","18","bus","bus=Ja|tram=|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:invalid_excel_value;u_bahn:match","5","2","4","106541>106541=180s;106541>106542=180s;106542>106541=180s;106542>106542=180s","medium","deterministic rank from 2 lines, 1 MATSim modes, 5 carsharing spaces, mp_id 310","invalid tram_vorhanden value ''"
"75","eligible_not_shortlisted","true","90","1404","Josephsburg","Josephburgstraße 41","695876.400","5333692.923","4472740.258","5332096.868","111.8","108816","108816;108819;108820","108819;108820","108816=[108816;108819;108820]","Josephsburg","2","XXX---2271996_1;XXX---MUC_U2_neu Prognose","26","subway","bus=Nein|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","2","4","108819>108819=180s;108819>108820=180s;108820>108819=180s;108820>108820=180s","medium","deterministic rank from 2 lines, 1 MATSim modes, 5 carsharing spaces, mp_id 1404","none"
"76","eligible_not_shortlisted","true","65","404","Bonner Platz","Karl-Theodort-Straße 55","691690.094","5338104.666","4468729.391","5336668.285","58.2","107178","107177;107178;107179;107179.1","107178;107179;107179.1","107177=[107177;107178;107179;107179.1]","Bonner Platz","2","XXX---2271997_1;XXX---MUC_U3_neu Prognose","28","subway","bus=Nein|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","2","4","107178>107178=180s;107178>107179=180s;107179>107178=180s;107179>107179=180s","high","deterministic rank from 2 lines, 1 MATSim modes, 4 carsharing spaces, mp_id 404","none"
"77","eligible_not_shortlisted","true","70","59","Neuaubing","Bodenseestraße 238","680264.174","5335020.662","4457191.968","5334032.287","20.0","109538","109536;109536.1;109538","109536;109536.1;109538","109535=[109536;109536.1;109538]","Neuaubing","2","XXX---2268591_3;XXX---2272139_3","3","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Ja","bus:match;s_bahn:mismatch_via_rail_proxy;tram:match;u_bahn:match","3","2","4","109536>109536=180s;109536>109538=180s;109538>109536=180s;109538>109538=180s","medium","deterministic rank from 2 lines, 1 MATSim modes, 3 carsharing spaces, mp_id 59","embedded line break in name; LHM s_bahn=Ja vs MATSim rail proxy=false"
"78","eligible_not_shortlisted","true","89","311","Amalienstraße","Theresienstraße 22 / Amalienstraße 28A","691661.077","5335926.457","4468615.439","5334492.949","24.3","106453","106453;106454;106454.1","106454;106454.1","106453=[106453;106454;106454.1]","Amalienstraße","2","XXX---2272043_3;XXX---2272051_3","9","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","3","2","1","106454>106454=0s","high","deterministic rank from 2 lines, 1 MATSim modes, 3 carsharing spaces, mp_id 311","none"
