scenario_id,sample_factor,unit,iteration,mode,stuck_event_count,relevant_both_inside_person_stuck_events,unique_affected_persons,unique_relevant_both_inside_persons,definition
BAU_2040,0.05,events,42,walk,5,0,5,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,43,ALL,205,31,205,31,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,43,pt,200,31,200,31,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,43,walk,5,0,5,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,44,ALL,174,15,174,15,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,44,pt,171,15,171,15,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,44,walk,3,0,3,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,45,ALL,183,28,183,28,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,45,pt,181,28,181,28,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,45,walk,2,0,2,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,46,ALL,184,20,184,20,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,46,pt,180,20,180,20,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,46,walk,4,0,4,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,47,ALL,177,23,177,23,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,47,pt,175,23,175,23,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,47,walk,2,0,2,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,48,ALL,150,19,150,19,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,48,pt,144,19,144,19,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,48,walk,6,0,6,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,49,ALL,11,1,11,1,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,49,pt,11,1,11,1,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,50,ALL,9,0,9,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,50,pt,9,0,9,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,51,ALL,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,51,pt,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,52,ALL,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,52,pt,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,53,ALL,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,53,pt,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,54,ALL,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,54,pt,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,55,ALL,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,55,pt,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,56,ALL,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,56,pt,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,57,ALL,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,57,pt,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,58,ALL,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,58,pt,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,59,ALL,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,59,pt,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,60,ALL,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,60,pt,8,0,8,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
